# Gait Wearable Sensor Telemetry log
# Format: timestamp_ms, acc_x, acc_y, acc_z
2960,-0.37,12.02,-0.52
2980,-0.52,11.70,-0.43
3000,-0.65,11.28,-0.54
3020,-0.74,10.79,-0.57
3040,-0.69,10.25,-0.44
3060,-0.88,9.68,-0.56
3080,-0.64,9.13,-0.46
3100,-0.66,8.61,-0.58
3120,-0.63,8.14,-0.55
3140,-0.59,7.77,-0.44
3160,-0.45,7.50,-0.45
3180,-0.11,7.34,-0.38
3200,-0.08,7.31,-0.32
3220,0.28,7.41,-0.37
3240,0.33,7.63,-0.27
3260,0.60,7.97,-0.11
3280,0.66,8.39,-0.15
3300,0.70,8.89,-0.08
3320,0.81,9.43,-0.08
3340,0.81,15.45,0.09
3360,0.62,16.66,0.17
3380,0.82,11.07,0.19
3400,0.69,11.52,0.25
3420,0.58,11.89,0.18
3440,0.25,12.15,0.36
3460,0.13,12.29,0.36
3480,-0.09,12.30,0.27
3500,-0.35,12.19,0.38
3520,-0.32,11.95,0.42
3540,-0.59,11.61,0.40
3560,-0.72,11.18,0.53
3580,-0.78,10.67,0.55
3600,-0.74,10.12,0.54
3620,-0.76,9.56,0.53
3640,-0.65,9.01,0.48
3660,-0.60,8.50,0.46
3680,-0.61,8.05,0.38
3700,-0.56,7.70,0.50
3720,-0.13,7.45,0.33
3740,-0.21,7.33,0.44
3760,0.09,7.33,0.36
3780,0.24,7.45,0.32
3800,0.36,7.70,0.33
3820,0.53,8.05,0.16
3840,0.67,8.50,0.12
3860,0.86,9.01,0.02
3880,0.75,9.56,0.10
3900,0.81,14.95,-0.07
3920,0.89,16.67,-0.18
3940,0.69,11.18,-0.20
3960,0.69,11.61,-0.29
3980,0.43,11.95,-0.18
4000,0.15,12.19,-0.25
4020,0.06,12.30,-0.27
4040,-0.01,12.29,-0.34
4060,-0.32,12.15,-0.42
4080,-0.40,11.89,-0.51
4100,-0.71,11.52,-0.38
4120,-0.71,11.07,-0.46
4140,-0.66,10.55,-0.43
4160,-0.67,10.00,-0.55
4180,-0.72,9.43,-0.44
4200,-0.76,8.89,-0.47
4220,-0.79,8.39,-0.57
4240,-0.40,7.97,-0.51
4260,-0.49,7.63,-0.41
4280,-0.36,7.41,-0.49
4300,-0.20,7.31,-0.36
4320,0.06,7.34,-0.24
4340,0.37,7.50,-0.25
4360,0.53,7.77,-0.33
4380,0.48,8.14,-0.21
4400,0.64,8.61,-0.04
4420,0.85,9.13,-0.01
4440,0.68,9.68,-0.04
4460,0.67,14.97,0.08
4480,0.75,10.79,0.08
4500,0.79,11.28,0.19
4520,0.66,11.70,0.13
4540,0.37,12.02,0.32
4560,0.25,12.22,0.38
4580,0.13,12.31,0.33
4600,-0.22,12.27,0.36
4620,-0.39,12.10,0.44
4640,-0.40,11.81,0.54
4660,-0.66,11.43,0.50
4680,-0.83,10.96,0.51
4700,-0.76,10.43,0.52
4720,-0.80,9.87,0.49
4740,-0.70,9.31,0.40
4760,-0.58,8.77,0.48
4780,-0.70,8.29,0.57
4800,-0.52,7.88,0.38
4820,-0.41,7.58,0.35
4840,-0.21,7.38,0.44
4860,0.14,7.31,0.28
4880,0.21,7.37,0.25
4900,0.48,7.55,0.30
4920,0.59,7.84,0.24
4940,0.74,8.24,0.17
4960,0.76,8.72,0.21
4980,0.73,9.25,0.11
5000,0.73,14.78,-0.05
5020,0.88,16.01,-0.15
5040,0.79,10.90,-0.05
5060,0.52,11.38,-0.26
5080,0.57,11.78,-0.27
5100,0.31,12.07,-0.29
5120,0.08,12.25,-0.35
5140,0.05,12.31,-0.43
5160,-0.13,12.24,-0.34
5180,-0.45,12.04,-0.36
5200,-0.56,11.74,-0.39
5220,-0.66,11.33,-0.44
5240,-0.69,10.85,-0.39
5260,-0.91,10.31,-0.41
5280,-0.71,9.75,-0.50
5300,-0.81,9.19,-0.49
5320,-0.59,8.66,-0.51
5340,-0.50,8.19,-0.49
5360,-0.44,7.81,-0.36
5380,-0.19,7.52,-0.32
5400,-0.12,7.35,-0.41
5420,0.04,7.31,-0.33
5440,0.18,7.40,-0.29
5460,0.51,7.60,-0.28
5480,0.40,7.92,-0.18
5500,0.53,8.34,-0.08
5520,0.85,8.83,-0.06
5540,0.75,9.37,-0.11
5560,0.93,15.76,-0.00
5580,0.83,15.93,0.13
5600,0.79,11.01,0.15
5620,0.74,11.48,0.11
5640,0.32,11.85,0.32
5660,0.26,12.12,0.36
5680,0.25,12.28,0.22
5700,0.07,12.31,0.28
5720,-0.38,12.21,0.45
5740,-0.45,11.99,0.41
5760,-0.51,11.65,0.39
5780,-0.74,11.23,0.52
5800,-0.83,10.73,0.42
5820,-0.74,10.19,0.44
5840,-0.91,9.62,0.55
5860,-0.84,9.07,0.58
5880,-0.77,8.55,0.57
5900,-0.67,8.10,0.37
5920,-0.51,7.73,0.35
5940,-0.25,7.47,0.33
5960,-0.14,7.33,0.45
5980,-0.03,7.32,0.37
6000,0.22,7.43,0.31
6020,0.53,7.67,0.33
6040,0.43,8.01,0.22
6060,0.72,8.44,0.16
6080,0.79,8.95,0.15
6100,0.77,9.50,-0.01
6120,0.73,14.58,-0.10
6140,0.70,15.95,-0.11
6160,0.71,11.12,-0.21
6180,0.71,11.57,-0.23
6200,0.36,11.92,-0.25
6220,0.40,12.17,-0.28
6240,-0.02,12.29,-0.23
6260,-0.09,12.29,-0.28
6280,-0.14,12.17,-0.43
6300,-0.57,11.92,-0.47
6320,-0.68,11.57,-0.51
6340,-0.73,11.12,-0.39
6360,-0.81,10.61,-0.48
6380,-0.81,10.06,-0.56
6400,-0.69,9.50,-0.43
6420,-0.62,8.95,-0.48
6440,-0.71,8.44,-0.52
6460,-0.48,8.01,-0.47
6480,-0.36,7.67,-0.50
6500,-0.14,7.43,-0.45
6520,-0.14,7.32,-0.36
6540,0.09,7.33,-0.29
6560,0.26,7.47,-0.23
6580,0.36,7.73,-0.27
6600,0.67,8.10,-0.28
6620,0.56,8.55,-0.12
6640,0.69,9.07,0.02
6660,0.79,9.62,-0.07
6680,0.75,14.89,0.05
6700,0.60,16.10,0.18
6720,0.61,11.23,0.05
6740,0.46,11.65,0.22
6760,0.51,11.99,0.24
6780,0.35,12.21,0.27
6800,0.13,12.31,0.34
6820,-0.02,12.28,0.43
6840,-0.37,12.12,0.49
6860,-0.54,11.85,0.38
6880,-0.54,11.48,0.39
6900,-0.77,11.01,0.39
6920,-0.80,10.49,0.47
6940,-0.66,9.94,0.51
6960,-0.87,9.37,0.47
6980,-0.79,8.83,0.54
7000,-0.56,8.34,0.57
7020,-0.67,7.92,0.48
7040,-0.26,7.60,0.45
7060,-0.09,7.40,0.30
7080,-0.15,7.31,0.31
7100,0.16,7.35,0.41
7120,0.23,7.52,0.28
7140,0.57,7.81,0.21
7160,0.61,8.19,0.17
7180,0.81,8.66,0.16
7200,0.79,9.19,0.13
7220,0.87,9.75,0.08
7240,0.91,15.03,-0.13
7260,0.68,10.85,-0.19
7280,0.72,11.33,-0.15
7300,0.57,11.74,-0.31
7320,0.33,12.04,-0.21
7340,0.07,12.24,-0.30
7360,-0.13,12.31,-0.40
7380,-0.20,12.25,-0.40
7400,-0.30,12.07,-0.39
7420,-0.38,11.78,-0.47
7440,-0.72,11.38,-0.41
7460,-0.76,10.90,-0.58
7480,-0.77,10.37,-0.50
7500,-0.93,9.81,-0.50
7520,-0.85,9.25,-0.50
7540,-0.69,8.72,-0.44
7560,-0.58,8.24,-0.50
7580,-0.38,7.84,-0.43
7600,-0.44,7.55,-0.35
7620,-0.26,7.37,-0.34
7640,-0.10,7.31,-0.39
7660,0.05,7.38,-0.25
7680,0.38,7.58,-0.27
7700,0.44,7.88,-0.21
7720,0.68,8.29,-0.26
7740,0.76,8.77,-0.18
7760,0.88,9.31,-0.03
7780,0.91,16.09,-0.08
7800,0.73,16.33,0.15
7820,0.63,10.96,0.09
7840,0.64,11.43,0.16
7860,0.47,11.81,0.14
7880,0.42,12.10,0.18
7900,0.20,12.27,0.33
7920,-0.02,12.31,0.38
7940,-0.19,12.22,0.46
7960,-0.43,12.02,0.42
7980,-0.48,11.70,0.45
8000,-0.56,11.28,0.38
8020,-0.70,10.79,0.59
8040,-0.69,10.25,0.42
8060,-0.93,9.68,0.55
8080,-0.89,9.13,0.46
8100,-0.56,8.61,0.52
8120,-0.66,8.14,0.54
8140,-0.59,7.77,0.37
8160,-0.19,7.50,0.39
8180,-0.22,7.34,0.38
8200,-0.09,7.31,0.37
8220,0.14,7.41,0.31
8240,0.31,7.63,0.22
8260,0.46,7.97,0.26
8280,0.72,8.39,0.24
8300,0.79,8.89,0.19
8320,0.88,9.43,0.06
8340,0.80,14.55,0.07
8360,0.70,15.81,-0.04
8380,0.63,11.07,-0.19
8400,0.72,11.52,-0.21
8420,0.49,11.89,-0.29
8440,0.25,12.15,-0.22
8460,0.06,12.29,-0.34
8480,-0.01,12.30,-0.37
8500,-0.17,12.19,-0.48
8520,-0.48,11.95,-0.47
8540,-0.65,11.61,-0.48
8560,-0.72,11.18,-0.42
8580,-0.73,10.67,-0.48
8600,-0.87,10.12,-0.49
8620,-0.93,9.56,-0.59
8640,-0.87,9.01,-0.56
8660,-0.69,8.50,-0.53
8680,-0.70,8.05,-0.53
8700,-0.53,7.70,-0.49
8720,-0.15,7.45,-0.41
8740,-0.13,7.33,-0.39
8760,0.05,7.33,-0.39
8780,0.16,7.45,-0.23
8800,0.49,7.70,-0.33
8820,0.49,8.05,-0.16
8840,0.73,8.50,-0.19
8860,0.70,9.01,0.00
8880,0.68,9.56,-0.02
8900,0.71,15.11,0.11
8920,0.76,16.85,-0.01
8940,0.54,11.18,0.15
8960,0.54,11.61,0.16
8980,0.28,11.95,0.21
9000,0.22,12.19,0.27
9020,0.02,12.30,0.40
9040,-0.12,12.29,0.34
9060,-0.21,12.15,0.44
9080,-0.52,11.89,0.39
9100,-0.71,11.52,0.40
9120,-0.61,11.07,0.55
9140,-0.91,10.55,0.49
9160,-0.94,10.00,0.58
9180,-0.71,9.43,0.53
9200,-0.84,8.89,0.52
9220,-0.52,8.39,0.53
9240,-0.48,7.97,0.55
9260,-0.41,7.63,0.35
9280,-0.13,7.41,0.45
9300,0.05,7.31,0.45
9320,0.08,7.34,0.42
9340,0.26,7.50,0.27
9360,0.45,7.77,0.26
9380,0.64,8.14,0.24
9400,0.64,8.61,0.08
9420,0.71,9.13,-0.02
9440,0.73,9.68,0.03
9460,0.88,16.45,0.01
9480,0.80,10.79,-0.16
9500,0.59,11.28,-0.15
9520,0.63,11.70,-0.22
9540,0.50,12.02,-0.24
9560,0.34,12.22,-0.35
9580,0.17,12.31,-0.26
9600,-0.07,12.27,-0.43
9620,-0.25,12.10,-0.47
9640,-0.44,11.81,-0.47
9660,-0.69,11.43,-0.45
9680,-0.80,10.96,-0.39
9700,-0.68,10.43,-0.50
9720,-0.74,9.87,-0.41
9740,-0.83,9.31,-0.40
9760,-0.77,8.77,-0.45
9780,-0.66,8.29,-0.50
9800,-0.53,7.88,-0.42
9820,-0.42,7.58,-0.44
9840,-0.12,7.38,-0.45
9860,-0.09,7.31,-0.33
9880,0.12,7.37,-0.25
9900,0.42,7.55,-0.28
9920,0.35,7.84,-0.30
9940,0.76,8.24,-0.23
9960,0.63,8.72,-0.07
9980,0.71,9.25,-0.15
10000,0.84,14.42,0.02
10020,0.90,16.04,0.05
10040,0.71,10.90,0.08
10060,0.55,11.38,0.21
10080,0.46,11.78,0.27
10100,0.48,12.07,0.20
10120,0.27,12.25,0.38
10140,0.08,12.31,0.31
10160,-0.12,12.24,0.41
10180,-0.28,12.04,0.35
10200,-0.42,11.74,0.49
10220,-0.72,11.33,0.56
10240,-0.71,10.85,0.46
10260,-0.82,10.31,0.48
10280,-0.92,9.75,0.44
10300,-0.85,9.19,0.51
10320,-0.74,8.66,0.57
10340,-0.61,8.19,0.45
10360,-0.38,7.81,0.44
10380,-0.35,7.52,0.43
10400,-0.12,7.35,0.46
10420,0.01,7.31,0.27
10440,0.34,7.40,0.31
10460,0.51,7.60,0.31
10480,0.54,7.92,0.15
10500,0.64,8.34,0.11
10520,0.83,8.83,0.03
10540,0.65,9.37,0.12
10560,0.81,14.81,0.04
10580,0.89,16.77,-0.17
10600,0.75,11.01,-0.22
10620,0.49,11.48,-0.12
10640,0.57,11.85,-0.17
10660,0.35,12.12,-0.34
10680,0.22,12.28,-0.40
10700,0.06,12.31,-0.36
10720,-0.27,12.21,-0.43
10740,-0.30,11.99,-0.50
10760,-0.58,11.65,-0.46
10780,-0.77,11.23,-0.52
10800,-0.72,10.73,-0.47
10820,-0.88,10.19,-0.57
10840,-0.74,9.62,-0.57
10860,-0.89,9.07,-0.57
10880,-0.62,8.55,-0.52
10900,-0.50,8.10,-0.39
10920,-0.52,7.73,-0.45
10940,-0.29,7.47,-0.39
10960,0.04,7.33,-0.29
10980,0.11,7.32,-0.32
11000,0.17,7.43,-0.21
11020,0.26,7.67,-0.18
11040,0.50,8.01,-0.29
11060,0.57,8.44,-0.11
11080,0.70,8.95,-0.12
11100,0.67,9.50,0.06
11120,0.72,14.97,-0.05
11140,0.88,15.19,0.05
11160,0.58,11.12,0.12
11180,0.64,11.57,0.25
11200,0.48,11.92,0.32
11220,0.37,12.17,0.32
11240,0.02,12.29,0.29
11260,-0.01,12.29,0.31
11280,-0.41,12.17,0.48
11300,-0.50,11.92,0.40
11320,-0.65,11.57,0.47
11340,-0.71,11.12,0.54
11360,-0.84,10.61,0.45
11380,-0.82,10.06,0.52
11400,-0.75,9.50,0.58
11420,-0.66,8.95,0.58
11440,-0.81,8.44,0.39
11460,-0.46,8.01,0.54
11480,-0.37,7.67,0.36
11500,-0.23,7.43,0.44
11520,-0.17,7.32,0.45
11540,0.01,7.33,0.41
11560,0.28,7.47,0.22
11580,0.48,7.73,0.28
11600,0.49,8.10,0.14
11620,0.81,8.55,0.14
11640,0.81,9.07,-0.01
11660,0.73,9.62,0.01
11680,0.89,16.26,0.03
11700,0.75,17.23,-0.17
11720,0.71,11.23,-0.12
11740,0.49,11.65,-0.28
11760,0.48,11.99,-0.27
11780,0.09,12.21,-0.23
11800,-0.08,12.31,-0.35
11820,-0.01,12.28,-0.37
11840,-0.16,12.12,-0.39
11860,-0.57,11.85,-0.43
11880,-0.56,11.48,-0.53
11900,-0.67,11.01,-0.39
11920,-0.73,10.49,-0.56
11940,-0.92,9.94,-0.51
11960,-0.88,9.37,-0.45
11980,-0.67,8.83,-0.50
12000,-0.75,8.34,-0.39
12020,-0.59,7.92,-0.52
12040,-0.48,7.60,-0.37
12060,-0.21,7.40,-0.36
12080,-0.07,7.31,-0.33
12100,0.24,7.35,-0.27
12120,0.39,7.52,-0.21
12140,0.63,7.81,-0.28
12160,0.74,8.19,-0.23
12180,0.64,8.66,-0.15
12200,0.90,9.19,-0.02
12220,0.77,9.75,-0.07
12240,0.88,16.27,0.00
12260,0.77,10.85,0.05
12280,0.73,11.33,0.11
12300,0.64,11.74,0.29
12320,0.45,12.04,0.20
12340,0.30,12.24,0.38
12360,0.01,12.31,0.34
12380,-0.15,12.25,0.47
12400,-0.36,12.07,0.39
12420,-0.57,11.78,0.37
12440,-0.73,11.38,0.54
12460,-0.77,10.90,0.50
12480,-0.80,10.37,0.46
12500,-0.78,9.81,0.56
12520,-0.65,9.25,0.48
12540,-0.63,8.72,0.40
12560,-0.53,8.24,0.48
12580,-0.50,7.84,0.53
12600,-0.20,7.55,0.47
12620,-0.02,7.37,0.34
12640,0.01,7.31,0.37
12660,0.22,7.38,0.32
12680,0.50,7.58,0.34
12700,0.47,7.88,0.13
12720,0.63,8.29,0.12
12740,0.76,8.77,0.14
12760,0.76,9.31,0.03
12780,0.82,16.34,-0.03
12800,0.85,15.15,-0.03
12820,0.71,10.96,-0.08
12840,0.71,11.43,-0.08
12860,0.52,11.81,-0.31
12880,0.43,12.10,-0.21
12900,0.03,12.27,-0.30
12920,0.02,12.31,-0.36
12940,-0.24,12.22,-0.36
12960,-0.40,12.02,-0.51
12980,-0.42,11.70,-0.43
13000,-0.75,11.28,-0.55
13020,-0.68,10.79,-0.55
13040,-0.85,10.25,-0.54
13060,-0.68,9.68,-0.44
13080,-0.91,9.13,-0.50
13100,-0.84,8.61,-0.48
13120,-0.56,8.14,-0.45
13140,-0.51,7.77,-0.48
13160,-0.21,7.50,-0.36
13180,-0.22,7.34,-0.32
13200,0.15,7.31,-0.41
13220,0.12,7.41,-0.33
13240,0.41,7.63,-0.31
13260,0.53,7.97,-0.17
13280,0.63,8.39,-0.25
13300,0.76,8.89,-0.18
13320,0.82,9.43,-0.13
13340,0.68,15.19,0.05
13360,0.70,15.62,0.17
13380,0.83,11.07,0.13
13400,0.60,11.52,0.11
13420,0.52,11.89,0.28
13440,0.41,12.15,0.27
13460,0.03,12.29,0.29
13480,-0.17,12.30,0.43
13500,-0.34,12.19,0.44
13520,-0.43,11.95,0.40
13540,-0.61,11.61,0.51
13560,-0.64,11.18,0.55
13580,-0.83,10.67,0.39
13600,-0.77,10.12,0.55
13620,-0.84,9.56,0.44
13640,-0.69,9.01,0.55
13660,-0.79,8.50,0.51
13680,-0.71,8.05,0.56
13700,-0.44,7.70,0.39
13720,-0.36,7.45,0.33
13740,-0.21,7.33,0.29
13760,-0.03,7.33,0.27
13780,0.17,7.45,0.20
13800,0.29,7.70,0.26
13820,0.65,8.05,0.19
13840,0.60,8.50,0.15
13860,0.84,9.01,0.02
13880,0.78,9.56,-0.01
13900,0.85,15.60,-0.02
13920,0.74,15.50,-0.02
13940,0.72,11.18,-0.10
13960,0.57,11.61,-0.17
13980,0.42,11.95,-0.32
14000,0.13,12.19,-0.28
14020,-0.03,12.30,-0.30
14040,-0.06,12.29,-0.41
14060,-0.31,12.15,-0.39
14080,-0.40,11.89,-0.41
14100,-0.52,11.52,-0.45
14120,-0.73,11.07,-0.54
14140,-0.78,10.55,-0.57
14160,-0.92,10.00,-0.52
14180,-0.92,9.43,-0.55
14200,-0.84,8.89,-0.53
14220,-0.60,8.39,-0.48
14240,-0.49,7.97,-0.43
14260,-0.36,7.63,-0.42
14280,-0.19,7.41,-0.46
14300,-0.13,7.31,-0.39
14320,0.08,7.34,-0.34
14340,0.16,7.50,-0.33
14360,0.31,7.77,-0.18
14380,0.69,8.14,-0.08
14400,0.65,8.61,-0.17
14420,0.68,9.13,-0.05
14440,0.93,9.68,-0.00
14460,0.87,15.16,0.02
14480,0.75,10.79,0.07
14500,0.65,11.28,0.09
14520,0.38,11.70,0.22
14540,0.44,12.02,0.21
14560,0.31,12.22,0.30
14580,0.10,12.31,0.42
14600,-0.19,12.27,0.41
14620,-0.24,12.10,0.41
14640,-0.59,11.81,0.43
14660,-0.63,11.43,0.44
14680,-0.63,10.96,0.56
14700,-0.70,10.43,0.59
14720,-0.94,9.87,0.56
14740,-0.68,9.31,0.48
14760,-0.68,8.77,0.44
14780,-0.63,8.29,0.48
14800,-0.57,7.88,0.41
14820,-0.35,7.58,0.35
14840,-0.15,7.38,0.35
14860,-0.06,7.31,0.30
14880,0.19,7.37,0.29
14900,0.38,7.55,0.26
14920,0.43,7.84,0.31
14940,0.70,8.24,0.13
14960,0.81,8.72,0.15
14980,0.85,9.25,0.06
15000,0.81,9.81,0.03
15020,0.93,16.23,-0.11
15040,0.68,10.90,-0.05
15060,0.56,11.38,-0.22
15080,0.62,11.78,-0.20
15100,0.38,12.07,-0.35
15120,0.24,12.25,-0.34
15140,-0.10,12.31,-0.30
15160,-0.14,12.24,-0.31
15180,-0.50,12.04,-0.40
15200,-0.58,11.74,-0.47
15220,-0.74,11.33,-0.51
15240,-0.84,10.85,-0.41
15260,-0.69,10.31,-0.45
15280,-0.75,9.75,-0.52
15300,-0.74,9.19,-0.47
15320,-0.74,8.66,-0.40
15340,-0.58,8.19,-0.57
15360,-0.58,7.81,-0.53
15380,-0.37,7.52,-0.50
15400,-0.21,7.35,-0.39
15420,-0.10,7.31,-0.29
15440,0.23,7.40,-0.22
15460,0.39,7.60,-0.19
15480,0.48,7.92,-0.18
15500,0.80,8.34,-0.24
15520,0.68,8.83,-0.12
15540,0.83,9.37,-0.12
15560,0.72,15.69,0.07
15580,0.85,16.29,-0.01
15600,0.77,11.01,0.04
15620,0.71,11.48,0.13
15640,0.43,11.85,0.29
15660,0.44,12.12,0.27
15680,0.18,12.28,0.32
15700,-0.18,12.31,0.46
15720,-0.30,12.21,0.32
15740,-0.52,11.99,0.42
15760,-0.56,11.65,0.56
15780,-0.79,11.23,0.51
15800,-0.79,10.73,0.39
15820,-0.92,10.19,0.42
15840,-0.87,9.62,0.47
15860,-0.84,9.07,0.49
15880,-0.75,8.55,0.41
15900,-0.54,8.10,0.41
15920,-0.40,7.73,0.39
15940,-0.33,7.47,0.35
15960,-0.01,7.33,0.32
15980,0.17,7.32,0.39
16000,0.37,7.43,0.24
16020,0.36,7.67,0.16
16040,0.57,8.01,0.15
16060,0.79,8.44,0.06
16080,0.81,8.95,0.02
16100,0.70,9.50,0.02
16120,0.78,14.86,-0.07
16140,0.70,16.14,-0.10
16160,0.66,11.12,-0.10
16180,0.63,11.57,-0.10
16200,0.52,11.92,-0.27
16220,0.12,12.17,-0.37
16240,0.01,12.29,-0.43
16260,-0.06,12.29,-0.41
16280,-0.36,12.17,-0.40
16300,-0.52,11.92,-0.41
16320,-0.65,11.57,-0.44
16340,-0.71,11.12,-0.54
16360,-0.89,10.61,-0.58
16380,-0.75,10.06,-0.57
16400,-0.72,9.50,-0.45
16420,-0.79,8.95,-0.40
16440,-0.64,8.44,-0.53
16460,-0.45,8.01,-0.42
16480,-0.46,7.67,-0.48
16500,-0.22,7.43,-0.42
16520,0.05,7.32,-0.34
16540,0.06,7.33,-0.37
16560,0.20,7.47,-0.29
16580,0.36,7.73,-0.27
16600,0.52,8.10,-0.26
16620,0.81,8.55,-0.16
16640,0.80,9.07,-0.17
16660,0.81,9.62,-0.08
16680,0.76,14.72,0.08
16700,0.79,15.96,0.17
16720,0.64,11.23,0.12
16740,0.69,11.65,0.24
16760,0.33,11.99,0.32
16780,0.17,12.21,0.27
16800,0.05,12.31,0.35
16820,-0.03,12.28,0.35
16840,-0.19,12.12,0.40
16860,-0.51,11.85,0.53
16880,-0.66,11.48,0.55
16900,-0.75,11.01,0.50
16920,-0.62,10.49,0.51
16940,-0.90,9.94,0.47
16960,-0.90,9.37,0.40
16980,-0.80,8.83,0.45
17000,-0.65,8.34,0.42
17020,-0.39,7.92,0.47
17040,-0.43,7.60,0.45
17060,-0.19,7.40,0.41
17080,-0.05,7.31,0.32
17100,0.21,7.35,0.24
17120,0.31,7.52,0.23
17140,0.43,7.81,0.16
17160,0.54,8.19,0.12
17180,0.65,8.66,0.17
17200,0.70,9.19,0.08
17220,0.80,9.75,0.07
17240,0.64,15.19,-0.07
17260,0.71,10.85,-0.19
17280,0.72,11.33,-0.15
17300,0.53,11.74,-0.28
17320,0.26,12.04,-0.17
17340,0.33,12.24,-0.28
17360,-0.01,12.31,-0.44
17380,-0.18,12.25,-0.41
17400,-0.48,12.07,-0.52
17420,-0.39,11.78,-0.55
